global_x,global_y,map_member,local_x,local_y,symbol,intent,provisional_code
0,0,50,0,0,T,BLOCKED_TREE_WALL,1
1,0,50,1,0,T,BLOCKED_TREE_WALL,1
2,0,50,2,0,T,BLOCKED_TREE_WALL,1
3,0,50,3,0,T,BLOCKED_TREE_WALL,1
4,0,50,4,0,T,BLOCKED_TREE_WALL,1
5,0,50,5,0,T,BLOCKED_TREE_WALL,1
6,0,50,6,0,T,BLOCKED_TREE_WALL,1
7,0,50,7,0,T,BLOCKED_TREE_WALL,1
8,0,50,8,0,T,BLOCKED_TREE_WALL,1
9,0,50,9,0,T,BLOCKED_TREE_WALL,1
10,0,50,10,0,T,BLOCKED_TREE_WALL,1
11,0,50,11,0,T,BLOCKED_TREE_WALL,1
12,0,50,12,0,T,BLOCKED_TREE_WALL,1
13,0,50,13,0,T,BLOCKED_TREE_WALL,1
14,0,50,14,0,T,BLOCKED_TREE_WALL,1
15,0,50,15,0,T,BLOCKED_TREE_WALL,1
16,0,50,16,0,T,BLOCKED_TREE_WALL,1
17,0,50,17,0,T,BLOCKED_TREE_WALL,1
18,0,50,18,0,T,BLOCKED_TREE_WALL,1
19,0,50,19,0,T,BLOCKED_TREE_WALL,1
20,0,50,20,0,T,BLOCKED_TREE_WALL,1
21,0,50,21,0,T,BLOCKED_TREE_WALL,1
22,0,50,22,0,T,BLOCKED_TREE_WALL,1
23,0,50,23,0,T,BLOCKED_TREE_WALL,1
24,0,50,24,0,T,BLOCKED_TREE_WALL,1
25,0,50,25,0,T,BLOCKED_TREE_WALL,1
26,0,50,26,0,T,BLOCKED_TREE_WALL,1
27,0,50,27,0,T,BLOCKED_TREE_WALL,1
28,0,50,28,0,T,BLOCKED_TREE_WALL,1
29,0,50,29,0,T,BLOCKED_TREE_WALL,1
30,0,50,30,0,T,BLOCKED_TREE_WALL,1
31,0,50,31,0,T,BLOCKED_TREE_WALL,1
32,0,51,0,0,T,BLOCKED_TREE_WALL,1
33,0,51,1,0,T,BLOCKED_TREE_WALL,1
34,0,51,2,0,T,BLOCKED_TREE_WALL,1
35,0,51,3,0,T,BLOCKED_TREE_WALL,1
36,0,51,4,0,T,BLOCKED_TREE_WALL,1
37,0,51,5,0,T,BLOCKED_TREE_WALL,1
38,0,51,6,0,T,BLOCKED_TREE_WALL,1
39,0,51,7,0,T,BLOCKED_TREE_WALL,1
40,0,51,8,0,T,BLOCKED_TREE_WALL,1
41,0,51,9,0,T,BLOCKED_TREE_WALL,1
42,0,51,10,0,T,BLOCKED_TREE_WALL,1
43,0,51,11,0,T,BLOCKED_TREE_WALL,1
44,0,51,12,0,T,BLOCKED_TREE_WALL,1
45,0,51,13,0,T,BLOCKED_TREE_WALL,1
46,0,51,14,0,T,BLOCKED_TREE_WALL,1
47,0,51,15,0,T,BLOCKED_TREE_WALL,1
48,0,51,16,0,T,BLOCKED_TREE_WALL,1
49,0,51,17,0,T,BLOCKED_TREE_WALL,1
